Project,Milestone,Epic,Issue ID,Title,Description,Priority,Status,Labels,Owner,Estimate,Start Date,Due Date,Dependencies,Blocked By,Acceptance Criteria,Evidence Required,Risk,Release Gate,Source File,Source Commit
EXECUTA.AI — LANÇAMENTO PÚBLICO,G0 — Auditoria e Baseline Confiável,EXA-G0-DOC,EXA-G0-DOC-001,Publicar pacote docs/release/ com auditoria factual e backlog,"Auditoria completa (build/test/lint/e2e/smoke/produção) + 10 documentos + backlog CSV/JSON, seguindo o prompt-mestre do dono do produto.",P0,In Review,"area:doc;gate:G0;release","Execução assistida (Claude Code)",6,2026-07-24,2026-07-24,,,"10 arquivos em docs/release/; CSV parseável; build/test/lint locais verdes","npm run check; npm run build:web && test:web && lint:web; npx playwright test",Baixo,G0,docs/release/*,28a689f
EXECUTA.AI — LANÇAMENTO PÚBLICO,G1 — Runtime e Infraestrutura Estáveis,EXA-G1-BE,EXA-G1-BE-001,Confirmar hotfix do adapter Vercel ao vivo em produção,"Rodar curl GET-only em /api/auth/me, /api/executar/projects, /mcp, /app na produção real para confirmar que o hotfix presente no código (src/lib/vercel-node-adapter.ts) está de fato publicado.",P0,Blocked,"area:be;gate:G1;decision-required","Execução assistida (Claude Code)",1,2026-07-25,2026-07-25,,Acesso de rede a produção (bloqueado neste sandbox),"Nenhuma rota retorna 500 ou FUNCTION_INVOCATION_FAILED","Saída de curl -i para as 4 rotas",Médio,G1,src/lib/vercel-node-adapter.ts,28a689f
EXECUTA.AI — LANÇAMENTO PÚBLICO,G1 — Runtime e Infraestrutura Estáveis,EXA-G1-BE,EXA-G1-BE-002,Decidir destino do PR #9 (gate de senha de operador obsoleto),"PR #9 tem base aeb1249 (muito atrás de main) e seu objetivo já foi alcançado por src/lib/admin-guard.ts sobre request-auth.ts. Fechar sem merge ou rebasear conscientemente.",P1,Blocked,"area:be;gate:G1;decision-required","Product Owner",1,2026-07-25,2026-07-25,,Decisão do dono do produto,PR #9 fechado ou rebaseado com justificativa registrada,Link do PR fechado/atualizado,Baixo,G1,docs/GATE_PROGRESS.md,aeb1249
EXECUTA.AI — LANÇAMENTO PÚBLICO,G1 — Runtime e Infraestrutura Estáveis,EXA-G1-MCP,EXA-G1-MCP-001,Decidir destino do handoff executar-mcp-server,"api/mcp.ts -> src/mcp-server.ts já é uma implementação MCP nativa e mais madura (persistida via Neon/Supabase) que o handoff standalone. Decidir: absorver artefato deskos-project-executar-pm.json, descartar o servidor duplicado, ou manter paralelo com justificativa. Inclui decommission do projeto Vercel isolado executar-mcp-server-vercel-ready.",P1,Blocked,"area:mcp;gate:G1;decision-required","Product Owner",4,2026-07-26,2026-07-27,EXA-G1-BE-002,Decisão do dono do produto,Decisão registrada em 04-RISCOS-DECISOES.md com plano de ação,Documento de decisão,Médio,G1,scratchpad/skills-review/executar-mcp-server-handoff/,—
EXECUTA.AI — LANÇAMENTO PÚBLICO,G1 — Runtime e Infraestrutura Estáveis,EXA-G1-DOC,EXA-G1-DOC-001,Atualizar documentação estrutural obsoleta (Netlify → Vercel),"AGENTS.md, SECURITY.md, docs/09_SECURITY_AND_GOVERNANCE.md, docs/13_DECISIONS_GAPS_ASSUMPTIONS.md, docs/DEPLOYMENT_STATUS.md e package.json (nome/versão) ainda descrevem o modelo operacional Netlify/senha de operador pré-migração.",P2,Backlog,"area:doc;gate:G1","Execução assistida (Claude Code)",3,2026-07-27,2026-07-27,,,"Documentos citados atualizados ou marcados com nota de supersessão explícita",Diff dos arquivos atualizados,Baixo,G1,AGENTS.md;SECURITY.md,—
EXECUTA.AI — LANÇAMENTO PÚBLICO,G2 — Ciclo Central do Produto Funcional,EXA-G2-BE,EXA-G2-BE-001,Validar ciclo central ponta a ponta em produção real,"Contexto -> estruturação por IA -> criação -> fases/tarefas -> próxima ação -> checkpoints -> evidência -> painel/exportação -> persistência -> recuperação, testado ao vivo.",P0,Blocked,"area:be;gate:G2","Execução assistida (Claude Code)",4,2026-07-28,2026-07-29,EXA-G1-BE-001,Confirmação de produção (G1),Reload preserva dados; ciclo completo sem erro,Sessão gravada + captura do estado persistido,Alto,G2,src/executar/service.ts,—
EXECUTA.AI — LANÇAMENTO PÚBLICO,G2 — Ciclo Central do Produto Funcional,EXA-G2-DESKOS,EXA-G2-DESKOS-001,Confirmar contrato de dados do ciclo central contra a skill desk-os-neurocompatible-projects,"Verificar que DeskOsService/registerDeskOsTools respeita a mesma lógica 3x9x36 e hierarquia projeto->fase->área->item->ação->evidência da skill.",P2,Backlog,"area:deskos;gate:G2","Execução assistida (Claude Code)",6,2026-07-29,2026-07-31,,,Contrato de dados documentado como equivalente ou com desvios listados,Comparação lado a lado dos schemas,Baixo,G2,scratchpad/skills-review/desk-os-skill/,—
EXECUTA.AI — LANÇAMENTO PÚBLICO,G2 — Ciclo Central do Produto Funcional,EXA-G2-PLANGEN,EXA-G2-PLANGEN-001,Registrar decisão de design sobre conectar plano-operacional-rastreavel ao ciclo central,"Motor hoje guiado por julgamento de LLM, sem endpoint síncrono. Decidir se/como vira gerador de plano assistido por IA no produto, registrando que isso é redesenho, não implementação trivial.",P2,Blocked,"area:plangen;gate:G2;decision-required","Product Owner",8,2026-07-31,2026-08-02,,Decisão do dono do produto,Decisão de design registrada em 04-RISCOS-DECISOES.md,Documento de decisão,Médio,G2,scratchpad/skills-review/plano-operacional/,—
EXECUTA.AI — LANÇAMENTO PÚBLICO,G3 — Persistência Segurança e Integridade dos Dados,EXA-G3-SEC,EXA-G3-SEC-001,Decidir política de autenticação (login obrigatório vs. workspace público),"src/lib/request-auth.ts:89-107 remove o bloqueio de login a pedido do operador; qualquer requisição sem sessão cai no workspace público com papel OWNER. Decidir se isso é definitivo ou se login será reativado antes do lançamento.",P0,Blocked,"area:sec;gate:G3;decision-required","Product Owner",1,2026-08-03,2026-08-03,EXA-G1-BE-002,Decisão do dono do produto,Decisão registrada; implementação decorrente aberta como issue(s) TBD,Documento de decisão,Alto,G3,src/lib/request-auth.ts,28a689f
EXECUTA.AI — LANÇAMENTO PÚBLICO,G3 — Persistência Segurança e Integridade dos Dados,EXA-G3-DATA,EXA-G3-DATA-001,Decidir backend único de persistência (Neon vs Supabase),"src/lib/stores.ts:14-27: vault bifurca por supabaseConfigured(), OAuth é sempre Neon independente da configuração. Contradiz a suposição de baseline de que Supabase estaria desligado. Decidir fonte de verdade única de produção.",P0,Blocked,"area:data;gate:G3;decision-required","Product Owner",1,2026-08-03,2026-08-03,,Decisão do dono do produto,Decisão registrada; bifurcação removida se aplicável,Documento de decisão + diff de código,Alto,G3,src/lib/stores.ts,28a689f
EXECUTA.AI — LANÇAMENTO PÚBLICO,G3 — Persistência Segurança e Integridade dos Dados,EXA-G3-SEC,EXA-G3-SEC-002,Confirmar presença de variáveis de ambiente de produção,"Listar por presença (nunca valor) SUPABASE_URL, SUPABASE_PUBLISHABLE_KEY/ANON_KEY, SUPABASE_SERVICE_ROLE_KEY, DATABASE_URL/POSTGRES_URL/DATABASE_URL_UNPOOLED/POSTGRES_URL_NON_POOLING, ADMIN_PASSWORD no painel Vercel.",P1,Blocked,"area:sec;gate:G3","Product Owner",1,2026-08-03,2026-08-03,,Acesso ao painel Vercel (fora desta sessão),Lista de presença/ausência confirmada,Screenshot ou export do painel Vercel,Médio,G3,src/lib/supabase.ts;src/lib/stores.ts,—
EXECUTA.AI — LANÇAMENTO PÚBLICO,G4 — EXECUTA Journal Integrado,EXA-G4-BLOG,EXA-G4-BLOG-001,Regressão final do blog em produção,"Confirmar deep link, busca, carrossel, SEO e responsividade do EXECUTA Journal em produção real, após os gates anteriores.",P2,Backlog,"area:blog;gate:G4","Execução assistida (Claude Code)",2,2026-08-04,2026-08-04,EXA-G1-BE-001,,Sem 404 em deep link; busca e carrossel funcionais; zero violações a11y críticas/sérias,npm run test:web:e2e + verificação manual em produção,Baixo,G4,web/src/blog/*,28a689f
EXECUTA.AI — LANÇAMENTO PÚBLICO,G5 — Qualidade Acessibilidade e Playwright,EXA-G5-QA,EXA-G5-QA-001,Corrigir falha intermitente no teste raiz-sem-login (requestfailed /icon.svg),"Reproduzido 2 de 3 execuções nesta auditoria (npx playwright test --repeat-each=3). Causa provável: corrida entre o carregamento de /icon.svg e um redirecionamento client-side de / para /app.",P1,Backlog,"area:qa;gate:G5","Execução assistida (Claude Code)",3,2026-08-05,2026-08-05,,,10/10 execuções consecutivas verdes,npx playwright test --repeat-each=10,Médio,G5,web/e2e/app.spec.ts,—
EXECUTA.AI — LANÇAMENTO PÚBLICO,G5 — Qualidade Acessibilidade e Playwright,EXA-G5-QA,EXA-G5-QA-002,Avaliar extensão de cobertura de acessibilidade,"axe-playwright hoje só roda dentro de web/e2e/app.spec.ts. Avaliar se outros fluxos (ex. vault, dashboard) precisam de cobertura própria.",P2,Backlog,"area:qa;gate:G5","Execução assistida (Claude Code)",4,2026-08-06,2026-08-06,EXA-G5-QA-001,,Relatório de cobertura entregue com recomendação,Relatório de cobertura,Baixo,G5,web/e2e/app.spec.ts,—
EXECUTA.AI — LANÇAMENTO PÚBLICO,G6 — Beta Fechado,EXA-G6-REL,EXA-G6-REL-001,Desenhar fluxo de convite/onboarding para beta fechado,"Não existe fluxo de convite hoje. Construir onboarding em até 3 passos visíveis (regra de produto do AGENTS.md).",P1,Backlog,"area:rel;gate:G6","Product Owner;Execução assistida (Claude Code)",8,2026-08-07,2026-08-09,EXA-G2-BE-001;EXA-G3-SEC-001;EXA-G5-QA-001,,Pelo menos 1 usuário externo completa onboarding,Sessão gravada do fluxo completo,Médio,G6,web/src/App.tsx,—
EXECUTA.AI — LANÇAMENTO PÚBLICO,G7 — Preparação Comercial e Operacional,EXA-G7-DOC,EXA-G7-DOC-001,Redigir política de privacidade e termos de uso reais,"web/public/privacy.html existe hoje como placeholder não confirmado como conteúdo legal real. Precisa de revisão por competência jurídica antes do lançamento público.",P0,Backlog,"area:doc;gate:G7","Product Owner",6,2026-08-10,2026-08-10,EXA-G6-REL-001,Revisão jurídica (fora do escopo de automação),Política e termos publicados e revisados,URLs publicadas,Alto,G7,web/public/privacy.html,—
EXECUTA.AI — LANÇAMENTO PÚBLICO,G7 — Preparação Comercial e Operacional,EXA-G7-WORKBOOK,EXA-G7-WORKBOOK-001,Decidir destino do deskgo-business-workbook,"Decidir se o gerador de 5 peças SVG de negócio vira feature/oferta do produto ou fica como skill de uso interno/consultoria, fora do app.",P3,Backlog,"area:workbook;gate:G7;decision-required","Product Owner",2,2026-08-11,2026-08-11,,Decisão do dono do produto,Decisão registrada em 04-RISCOS-DECISOES.md,Documento de decisão,Baixo,G7,scratchpad/skills-review/deskgo-workbook/,—
EXECUTA.AI — LANÇAMENTO PÚBLICO,G7 — Preparação Comercial e Operacional,EXA-G7-REL,EXA-G7-REL-002,Definir plano de suporte,"Canal de suporte, SLA informal (operação solo-founder), triagem de incidentes.",P1,Backlog,"area:rel;gate:G7","Product Owner",3,2026-08-12,2026-08-12,,,Documento de plano de suporte publicado,Documento de plano de suporte,Médio,G7,docs/release/08-OPERACAO-POS-LANCAMENTO.md,—
EXECUTA.AI — LANÇAMENTO PÚBLICO,G8 — Release Candidate,EXA-G8-REL,EXA-G8-REL-001,Cortar Release Candidate,"Aplicar critérios de 03-GATES-DE-RELEASE.md e criar branch/tag de RC.",P1,Backlog,"area:rel;gate:G8","Product Owner;Execução assistida (Claude Code)",2,2026-08-13,2026-08-13,EXA-G7-DOC-001;EXA-G7-REL-002,,Tag de RC criada; changelog atualizado,Tag Git + changelog,Baixo,G8,CHANGELOG.md,—
EXECUTA.AI — LANÇAMENTO PÚBLICO,G9 — Lançamento Público,EXA-G9-OPS,EXA-G9-OPS-001,Executar checklist de go-live,"Domínio, monitoramento ativo, comunicação de lançamento, aprovação humana final e não delegável.",P0,Backlog,"area:ops;gate:G9","Product Owner",3,2026-08-14,2026-08-14,EXA-G8-REL-001,Aprovação humana explícita,Checklist assinado pelo dono do produto,Checklist preenchido,Alto,G9,docs/release/05-CHECKLIST-LANCAMENTO.md,—
EXECUTA.AI — LANÇAMENTO PÚBLICO,G10 — Operação e Acompanhamento Pós-Lançamento,EXA-G10-OPS,EXA-G10-OPS-001,Definir cadência de revisão pós-lançamento,"Revisões em 24h/7d/30d; métricas de ativação e retenção.",P2,Backlog,"area:ops;gate:G10","Product Owner",3,2026-08-15,2026-08-15,EXA-G9-OPS-001,,3 revisões realizadas e documentadas,Relatórios de revisão,Baixo,G10,docs/release/08-OPERACAO-POS-LANCAMENTO.md,—
