ID,Fonte,Gate,Titulo,Descricao,Prioridade,Status,Responsavel,Dependencias,Bloqueio,CriterioAceite,EvidenciaNecessaria,Estimativa_h,DataAlvo,ArquivoReferencia
"EXA-G0-DOC-001","Backlog Linear","G0","Publicar pacote docs/release/ com auditoria factual e backlog","Auditoria completa (build/test/lint/e2e/smoke/produção) + 10 documentos + backlog CSV/JSON, seguindo o prompt-mestre do dono do produto.","P0","In Review","Execução assistida (Claude Code)","","","10 arquivos em docs/release/; CSV parseável; build/test/lint locais verdes","npm run check; npm run build:web && test:web && lint:web; npx playwright test","6","2026-07-24","docs/release/*"
"EXA-G1-BE-001","Backlog Linear","G1","Confirmar hotfix do adapter Vercel ao vivo em produção","Rodar curl GET-only em /api/auth/me, /api/executar/projects, /mcp, /app na produção real para confirmar que o hotfix presente no código (src/lib/vercel-node-adapter.ts) está de fato publicado.","P0","Blocked","Execução assistida (Claude Code)","","Acesso de rede a produção (bloqueado neste sandbox)","Nenhuma rota retorna 500 ou FUNCTION_INVOCATION_FAILED","Saída de curl -i para as 4 rotas","1","2026-07-25","src/lib/vercel-node-adapter.ts"
"EXA-G1-BE-002","Backlog Linear","G1","[RESOLVIDO 2026-07-28] Decidir destino do PR #9 (gate de senha de operador obsoleto)","PR #9 tem base aeb1249 (muito atrás de main) e seu objetivo já foi alcançado por src/lib/admin-guard.ts sobre request-auth.ts. Fechar sem merge ou rebasear conscientemente. [SINCRONIZADO 2026-07-28] PR #9 encerrado sem merge em 2026-07-25 (RISK-007).","P1","Done","Product Owner","","Decisão do dono do produto","PR #9 fechado ou rebaseado com justificativa registrada","Link do PR fechado/atualizado","1","2026-07-25","docs/GATE_PROGRESS.md"
"EXA-G1-MCP-001","Backlog Linear","G1","[RESOLVIDO 2026-07-28] Decidir destino do handoff executar-mcp-server","api/mcp.ts -> src/mcp-server.ts já é uma implementação MCP nativa e mais madura (persistida via Neon/Supabase) que o handoff standalone. Decidir: absorver artefato deskos-project-executar-pm.json, descartar o servidor duplicado, ou manter paralelo com justificativa. Inclui decommission do projeto Vercel isolado executar-mcp-server-vercel-ready. [SINCRONIZADO 2026-07-28] MCP nativo confirmado como fonte unica (DEC-003).","P1","Done","Product Owner","EXA-G1-BE-002","Decisão do dono do produto","Decisão registrada em 04-RISCOS-DECISOES.md com plano de ação","Documento de decisão","4","2026-07-27","scratchpad/skills-review/executar-mcp-server-handoff/"
"EXA-G1-DOC-001","Backlog Linear","G1","[RESOLVIDO 2026-07-28] Atualizar documentação estrutural obsoleta (Netlify → Vercel)","AGENTS.md, SECURITY.md, docs/09_SECURITY_AND_GOVERNANCE.md, docs/13_DECISIONS_GAPS_ASSUMPTIONS.md, docs/DEPLOYMENT_STATUS.md e package.json (nome/versão) ainda descrevem o modelo operacional Netlify/senha de operador pré-migração. [SINCRONIZADO 2026-07-28] Docs estruturais migrados para Vercel; mencoes a Netlify restam so como nota historica.","P2","Done","Execução assistida (Claude Code)","","","Documentos citados atualizados ou marcados com nota de supersessão explícita","Diff dos arquivos atualizados","3","2026-07-27","AGENTS.md;SECURITY.md"
"EXA-G2-BE-001","Backlog Linear","G2","Validar ciclo central ponta a ponta em produção real","Contexto -> estruturação por IA -> criação -> fases/tarefas -> próxima ação -> checkpoints -> evidência -> painel/exportação -> persistência -> recuperação, testado ao vivo.","P0","Blocked","Execução assistida (Claude Code)","EXA-G1-BE-001","Confirmação de produção (G1)","Reload preserva dados; ciclo completo sem erro","Sessão gravada + captura do estado persistido","4","2026-07-29","src/executar/service.ts"
"EXA-G2-DESKOS-001","Backlog Linear","G2","Confirmar contrato de dados do ciclo central contra a skill desk-os-neurocompatible-projects","Verificar que DeskOsService/registerDeskOsTools respeita a mesma lógica 3x9x36 e hierarquia projeto->fase->área->item->ação->evidência da skill.","P2","Backlog","Execução assistida (Claude Code)","","","Contrato de dados documentado como equivalente ou com desvios listados","Comparação lado a lado dos schemas","6","2026-07-31","scratchpad/skills-review/desk-os-skill/"
"EXA-G2-PLANGEN-001","Backlog Linear","G2","Registrar decisão de design sobre conectar plano-operacional-rastreavel ao ciclo central","Motor hoje guiado por julgamento de LLM, sem endpoint síncrono. Decidir se/como vira gerador de plano assistido por IA no produto, registrando que isso é redesenho, não implementação trivial.","P2","Blocked","Product Owner","","Decisão do dono do produto","Decisão de design registrada em 04-RISCOS-DECISOES.md","Documento de decisão","8","2026-08-02","scratchpad/skills-review/plano-operacional/"
"EXA-G3-SEC-001","Backlog Linear","G3","[RESOLVIDO 2026-07-28] Decidir política de autenticação (login obrigatório vs. workspace público)","src/lib/request-auth.ts:89-107 remove o bloqueio de login a pedido do operador; qualquer requisição sem sessão cai no workspace público com papel OWNER. Decidir se isso é definitivo ou se login será reativado antes do lançamento. [SINCRONIZADO 2026-07-28] Autenticacao real habilitada por padrao (DEC-001, 2026-07-28).","P0","Done","Product Owner","EXA-G1-BE-002","Decisão do dono do produto","Decisão registrada; implementação decorrente aberta como issue(s) TBD","Documento de decisão","1","2026-08-03","src/lib/request-auth.ts"
"EXA-G3-DATA-001","Backlog Linear","G3","[RESOLVIDO 2026-07-28] Backend único de persistência decidido (Supabase)","Decisão registrada em ADR-002: Supabase e canonico. Vault ja resolvido sem migracao (consequencia de DEC-001, autenticacao real). Ver EXA-G3-DATA-002 para a fase 2 (OAuth).","P0","Done","Product Owner","","","Decisão registrada; Vault sem bifurcação ambígua para tráfego autenticado","docs/ADR-002_SUPABASE_CANONICAL_PERSISTENCE.md","1","2026-07-28","src/lib/stores.ts"
