requirement_id,requirement_title,priority,source,decision_ids,contract_ids,test_ids,acceptance_ids,status,evidence
FR-001,Fonte única de conteúdo,P0,SRC-01;SRC-05,ADR-001;ADR-002,CT-CONTENT;CT-INPUT,TEST-SCHEMA-01,ACR-011,PROPOSED,content-model.schema.json
FR-002,Comportamento de adaptação declarado,P0,SRC-01,ADR-004,CT-TRANSFORM,TEST-TR-01;TEST-TR-03,ACR-013,PROPOSED,transformation-rules.yaml
FR-003,Uma decisão e uma próxima ação,P0,SRC-05,ADR-008,CT-OUTPUT,TEST-OUT-01,ACR-020,PROPOSED,skill-output.schema.json
FR-004,Não auto-avançar,P0,SRC-05,ADR-008,CT-QGATES,TEST-OUT-01,ACR-020,PROPOSED,quality-gates.yaml
FR-005,Par visual + estruturado,P0,SRC-01;SRC-02,ADR-007,CT-OUTPUT,TEST-AI-01,ACR-010,PROPOSED,EDS-031
FR-006,Auditoria acionável,P1,SRC-05,,CT-FINDING,TEST-AUDIT-01,ACR-007,PROPOSED,audit-finding.schema.json
FR-007,Resolver overflow sem encolher fonte,P0,SRC-01,EDR-006;ADR-004,CT-TRANSFORM;CT-BUDGET,TEST-TR-02,ACR-017,PROPOSED,EDS-007
DR-001,Prioridade obrigatória,P0,SRC-01,EDR-002,CT-CONTENT,TEST-CONTENT-01,ACR-003,PROPOSED,content-model.schema.json
DR-002,Representação + fallback,P0,SRC-01,ADR-007,CT-CONTENT,TEST-CONTENT-02,ACR-013,PROPOSED,content-model.schema.json
DR-003,IDs únicos,P0,SRC-02,,CT-CONTENT,TEST-SCHEMA-03,ACR-011,PROPOSED,EDS-033
DR-004,Relações normalizadas,P1,SRC-02,ADR-003,CT-CONTENT,TEST-CONTENT-04,ACR-006,PROPOSED,EDS-025
DR-005,Proveniência,P1,SRC-02,,CT-EVIDENCE;CT-CONTENT,TEST-EV-01,ACR-016,PROPOSED,EDS-028
NFR-001,Legível por agente sem OCR,P0,SRC-02,ADR-001;ADR-007,CT-CONTENT,TEST-AI-01,ACR-010,PROPOSED,EDS-031
NFR-002,Sem duplicação de regra,P1,SRC-05,ADR-009,CT-QGATES,TEST-TRACE-01,ACR-011,PROPOSED,GOV-AMES-001
NFR-003,Determinismo de ranking,P1,SRC-02,,CT-EVIDENCE,TEST-AI-04,ACR-005,PROPOSED,EDS-019
NFR-004,Tokens não hard-coded,P1,SRC-01;SRC-05,ADR-002,CT-TOKENS,TEST-TOKEN-01,ACR-011,PROPOSED,design-tokens-contract.yaml
ACC-001,Contraste,P0,SRC-02,,CT-ACCEPT,TEST-A11Y-01,ACR-008,PROPOSED,EDS-008
ACC-002,Não depender só de cor,P0,SRC-02,,CT-ERRORS,TEST-A11Y-05,ACR-004;ACR-009,PROPOSED,EDS-037
ACC-003,Reflow 320px,P1,SRC-02,,CT-FORMATS,TEST-A11Y-03,ACR-015,PROPOSED,EDS-040
ACC-004,Zoom 200%,P2,SRC-02,,CT-FORMATS,TEST-A11Y-04,ACR-015,PROPOSED,EDS-040
ACC-005,Alternativa linear do BMC,P1,SRC-01,,CT-COMPONENTS;CT-FORMATS,TEST-A11Y-07,ACR-013,PROPOSED,SRC-01
ACC-006,Ícones com rótulo,P1,SRC-02,,CT-COMPONENTS,TEST-A11Y-06,ACR-009,PROPOSED,EDS-038
ACC-007,Tabelas semânticas,P1,SRC-02,,CT-COMPONENTS,TEST-A11Y-08,ACR-006,PROPOSED,EDS-018
ACC-008,Reduced motion,P2,SRC-01,,CT-TOKENS,TEST-A11Y-09,ACR-015,PROPOSED,SRC-01
PRINT-001,Separar P-1/P-2,P0,SRC-01;SRC-05,ADR-006,CT-FORMATS,TEST-PRINT-06,ACR-019,PROPOSED,SPEC-PRINT
PRINT-002,Escala 100%,P0,SRC-02,EDR-006,CT-TOKENS,TEST-PRINT-01,ACR-001,PROPOSED,EDS-007
PRINT-003,Safe-area e rodapé,P0,SRC-02,,CT-FORMATS,TEST-PRINT-03,ACR-002,PROPOSED,EDS-014
PRINT-004,Break-inside,P1,SRC-01,,CT-TOKENS,TEST-PRINT-04,ACR-002,PROPOSED,SRC-01
PRINT-005,Requisitos P-2,P1,SRC-05,ADR-006,CT-FORMATS,TEST-PRINT-06,ACR-019,PROPOSED,SPEC-PRINT
PRINT-006,Não prometer gráfica em P-1,P0,SRC-01;SRC-02,ADR-006,CT-ERRORS,TEST-PRINT-05,ACR-014;ACR-019,PROPOSED,EDS-042
SEC-001,Sem ação externa sem aprovação,P0,SRC-05,,CT-ERRORS,TEST-GOV-01,ACR-020,PROPOSED,GO-001
SEC-002,Não substituir/apagar fonte,P0,SRC-05,,CT-ERRORS,TEST-GOV-02,ACR-020,PROPOSED,SRC-05
SEC-003,Valores herdados PROVISIONAL,P1,SRC-04,ADR-002,CT-EVIDENCE,TEST-EV-01,ACR-016,PROPOSED,CONTRACT-MASTER
AI-001,Saída estruturada paralela,P0,SRC-02,ADR-007,CT-OUTPUT,TEST-AI-01,ACR-010,PROPOSED,EDS-031
AI-002,Relações explícitas,P1,SRC-02,,CT-CONTENT,TEST-CONTENT-04,ACR-006,PROPOSED,EDS-034
AI-003,Achados referenciáveis,P1,SRC-02,,CT-FINDING,TEST-AUDIT-01,ACR-007,PROPOSED,EDS-033
SWISS-001,Grid modular + baseline,P1,SRC-03,EDR-003,CT-STYLE,TEST-SWISS-01,ACR-008,PROPOSED,SRC-03
SWISS-002,Alinhamento à esquerda/borda irregular,P1,SRC-03,EDR-003,CT-STYLE,TEST-SWISS-02,ACR-008,PROPOSED,SRC-03
SWISS-003,Três pesos / quatro níveis,P1,SRC-03;SRC-02,EDR-003,CT-STYLE,TEST-SWISS-03,ACR-008,PROPOSED,EDS-011
SWISS-004,Preto e branco,P0,SRC-03,EDR-003,CT-STYLE,TEST-SWISS-06,ACR-008,PROPOSED,SRC-03
SWISS-005,Proibições decorativas,P1,SRC-03;SRC-02,EDR-003,CT-STYLE,TEST-SWISS-04,ACR-008,PROPOSED,EDS-045
SWISS-006,Cor econômica semântica,P1,SRC-03;SRC-02,EDR-003;ADR-002,CT-STYLE;CT-TOKENS,TEST-SWISS-05,ACR-008,PROPOSED,EDS-047
